,G,Date,Start (ET),Opponent,Unnamed: 8,Tm,Opp,W,L,Streak,W/L,FG,FGA,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Season,Team
0,1,2016-10-26,7:30p,Brooklyn Nets,,122,117,1,0,W 1,W,48,89,11,32,0.344,15,18,0.833,12,47,36,13,9,19,20,2017,Boston Celtics
1,2,2016-10-27,8:00p,Chicago Bulls,,99,105,1,1,L 1,L,38,76,8,23,0.348,15,24,0.625,3,36,22,6,6,11,25,2017,Boston Celtics
2,3,2016-10-29,7:00p,Charlotte Hornets,,104,98,2,1,W 1,W,39,81,15,31,0.484,11,17,0.647,4,42,25,4,6,13,26,2017,Boston Celtics
3,4,2016-11-02,8:00p,Chicago Bulls,,107,100,3,1,W 2,W,41,87,14,32,0.438,11,17,0.647,10,39,28,10,4,12,24,2017,Boston Celtics
4,5,2016-11-03,8:00p,Cleveland Cavaliers,,122,128,3,2,L 1,L,46,96,11,32,0.344,19,22,0.864,10,39,25,4,6,8,28,2017,Boston Celtics
5,6,2016-11-06,7:30p,Denver Nuggets,,107,123,3,3,L 2,L,41,90,8,25,0.32,17,21,0.81,11,39,31,3,4,11,24,2017,Boston Celtics
6,7,2016-11-09,7:00p,Washington Wizards,,93,118,3,4,L 3,L,35,81,10,31,0.323,13,22,0.591,7,31,21,5,4,11,19,2017,Boston Celtics
7,8,2016-11-11,7:30p,New York Knicks,,115,87,4,4,W 1,W,35,90,11,27,0.407,34,43,0.791,19,53,23,16,3,15,18,2017,Boston Celtics
8,9,2016-11-12,7:00p,Indiana Pacers,,105,99,5,4,W 2,W,35,80,8,25,0.32,27,33,0.818,15,47,22,7,7,13,21,2017,Boston Celtics
9,10,2016-11-14,8:00p,New Orleans Pelicans,,105,106,5,5,L 1,L,38,95,12,41,0.293,17,20,0.85,11,44,19,9,0,10,27,2017,Boston Celtics
