,G,Date,Start (ET),Venue,Opponent,Tm,Opp,W,L,Streak,W/L,FG,FGA,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Season,Team
0,1,2023-10-25,7:00p,Away,New York Knicks,108,104,1,0,W 1,W,37,77,12,39,0.308,22,26,0.846,7,46,18,6,11,13,22,2024,Boston Celtics
1,2,2023-10-27,7:30p,Home,Miami Heat,119,111,2,0,W 2,W,45,95,16,39,0.41,13,19,0.684,16,55,20,7,6,15,19,2024,Boston Celtics
2,3,2023-10-30,7:00p,Away,Washington Wizards,126,107,3,0,W 3,W,51,102,19,53,0.358,5,7,0.714,15,51,31,11,6,17,21,2024,Boston Celtics
3,4,2023-11-01,7:30p,Home,Indiana Pacers,155,104,4,0,W 4,W,54,95,20,35,0.571,27,28,0.964,11,57,27,5,2,11,19,2024,Boston Celtics
4,5,2023-11-04,8:00p,Away,Brooklyn Nets,124,114,5,0,W 5,W,43,90,15,45,0.333,23,27,0.852,10,50,22,4,6,11,17,2024,Boston Celtics
5,6,2023-11-06,8:00p,Away,Minnesota Timberwolves,109,114,5,1,L 1,L,36,92,11,39,0.282,26,34,0.765,11,45,20,13,2,16,26,2024,Boston Celtics
6,7,2023-11-08,7:00p,Away,Philadelphia 76ers,103,106,5,2,L 2,L,36,91,15,47,0.319,16,19,0.842,9,43,28,8,6,12,13,2024,Boston Celtics
7,8,2023-11-10,7:30p,Home,Brooklyn Nets,121,107,6,2,W 1,W,41,94,19,52,0.365,20,28,0.714,17,52,29,5,3,7,13,2024,Boston Celtics
8,9,2023-11-11,7:00p,Home,Toronto Raptors,117,94,7,2,W 2,W,47,86,15,44,0.341,8,13,0.615,5,46,30,1,4,12,14,2024,Boston Celtics
9,10,2023-11-13,7:30p,Home,New York Knicks,114,98,8,2,W 3,W,40,79,19,43,0.442,15,16,0.938,8,37,27,3,3,11,22,2024,Boston Celtics
10,11,2023-11-15,7:30p,Away,Philadelphia 76ers,117,107,9,2,W 4,W,42,88,18,50,0.36,15,19,0.789,12,45,23,7,8,9,15,2024,Boston Celtics
11,12,2023-11-17,7:30p,Away,Toronto Raptors,108,105,10,2,W 5,W,42,92,16,46,0.348,8,9,0.889,8,44,29,5,4,10,13,2024,Boston Celtics
12,13,2023-11-19,8:00p,Away,Memphis Grizzlies,102,100,11,2,W 6,W,35,77,12,31,0.387,20,25,0.8,9,45,20,6,10,17,19,2024,Boston Celtics
13,14,2023-11-20,7:00p,Away,Charlotte Hornets,118,121,11,3,L 1,L,42,97,16,50,0.32,18,28,0.643,11,48,19,6,8,13,15,2024,Boston Celtics
14,15,2023-11-22,7:30p,Home,Milwaukee Bucks,119,116,12,3,W 1,W,44,84,17,42,0.405,14,17,0.824,4,43,27,3,5,15,15,2024,Boston Celtics
15,16,2023-11-24,2:30p,Away,Orlando Magic,96,113,12,4,L 1,L,31,76,7,29,0.241,27,37,0.73,4,31,17,10,4,14,18,2024,Boston Celtics
16,17,2023-11-26,6:00p,Home,Atlanta Hawks,113,103,13,4,W 1,W,42,95,13,47,0.277,16,20,0.8,18,58,24,9,3,12,19,2024,Boston Celtics
17,18,2023-11-28,7:30p,Home,Chicago Bulls,124,97,14,4,W 2,W,47,90,21,49,0.429,9,12,0.75,11,52,36,6,9,16,18,2024,Boston Celtics
18,19,2023-12-01,7:30p,Home,Philadelphia 76ers,125,119,15,4,W 3,W,39,77,16,33,0.485,31,36,0.861,10,46,25,10,8,20,18,2024,Boston Celtics
19,20,2023-12-04,7:30p,Away,Indiana Pacers,112,122,15,5,L 1,L,46,97,12,41,0.293,8,12,0.667,13,56,27,5,9,17,19,2024,Boston Celtics
20,21,2023-12-08,7:30p,Home,New York Knicks,133,123,16,5,W 1,W,48,91,19,47,0.404,18,21,0.857,8,34,24,8,5,7,19,2024,Boston Celtics
